address,attributes,business_id,categories,city,hours,is_open,latitude,longitude,name,postal_code,review_count,stars,state
135 2nd Ave N,"Row(AcceptsInsurance=None, AgesAllowed=None, Alcohol=""u'full_bar'"", Ambience=""{u'divey': None, u'hipster': None, u'casual': True, u'touristy': None, u'trendy': True, u'intimate': False, u'romantic': False, u'classy': None, u'upscale': False}"", BYOB=None, BYOBCorkage=None, BestNights=""{'monday': False, 'tuesday': True, 'friday': False, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': True}"", BikeParking='True', BusinessAcceptsBitcoin=None, BusinessAcceptsCreditCards='True', BusinessParking=""{'garage': None, 'street': True, 'validated': None, 'lot': False, 'valet': False}"", ByAppointmentOnly=None, Caters='False', CoatCheck='False', Corkage=None, DietaryRestrictions=None, DogsAllowed='False', DriveThru='False', GoodForDancing='True', GoodForKids='False', GoodForMeal=""{'dessert': None, 'latenight': True, 'lunch': True, 'dinner': True, 'brunch': None, 'breakfast': False}"", HairSpecializesIn=None, HappyHour='True', HasTV='True', Music=""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': True, 'video': False, 'karaoke': False}"", NoiseLevel=""u'loud'"", Open24Hours=None, OutdoorSeating='None', RestaurantsAttire=""'casual'"", RestaurantsCounterService=None, RestaurantsDelivery='False', RestaurantsGoodForGroups='True', RestaurantsPriceRange2='2', RestaurantsReservations='False', RestaurantsTableService='True', RestaurantsTakeOut='True', Smoking=""u'no'"", WheelchairAccessible=None, WiFi=""'free'"")",X_E7U2lVNEwbH_gpOBmAHQ,"Nightlife, Restaurants, Bars, Mexican",Nashville,"Row(Friday='11:0-1:0', Monday='0:0-0:0', Saturday='11:0-1:0', Sunday='11:0-22:0', Thursday='11:0-22:0', Tuesday=None, Wednesday='11:0-22:0')",1,36.162799,-86.776016,Cerveza Jack's,37201,182,4.0,TN
3990 Ulmerton Rd,"Row(AcceptsInsurance=None, AgesAllowed=None, Alcohol=None, Ambience=None, BYOB=None, BYOBCorkage=None, BestNights=None, BikeParking=None, BusinessAcceptsBitcoin=None, BusinessAcceptsCreditCards='True', BusinessParking=None, ByAppointmentOnly=None, Caters=None, CoatCheck=None, Corkage=None, DietaryRestrictions=None, DogsAllowed=None, DriveThru=None, GoodForDancing=None, GoodForKids=None, GoodForMeal=None, HairSpecializesIn=None, HappyHour=None, HasTV=None, Music=None, NoiseLevel=None, Open24Hours=None, OutdoorSeating=None, RestaurantsAttire=None, RestaurantsCounterService=None, RestaurantsDelivery=None, RestaurantsGoodForGroups=None, RestaurantsPriceRange2=None, RestaurantsReservations=None, RestaurantsTableService=None, RestaurantsTakeOut=None, Smoking=None, WheelchairAccessible=None, WiFi=""u'free'"")",EYA514FX4H8MwvFjv2ORQA,"Body Shops, Automotive",Clearwater,"Row(Friday='8:0-18:0', Monday='8:0-18:0', Saturday='9:0-13:0', Sunday=None, Thursday='8:0-18:0', Tuesday='8:0-18:0', Wednesday='8:0-18:0')",1,27.8931855254,-82.6876049487,Carsmetics,33762,30,4.5,FL
741 Thompson Ln,"Row(AcceptsInsurance=None, AgesAllowed=None, Alcohol=""u'none'"", Ambience=""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", BYOB=None, BYOBCorkage=None, BestNights=None, BikeParking='False', BusinessAcceptsBitcoin=None, BusinessAcceptsCreditCards='True', BusinessParking=""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", ByAppointmentOnly=None, Caters=None, CoatCheck=None, Corkage=None, DietaryRestrictions=None, DogsAllowed=None, DriveThru=None, GoodForDancing=None, GoodForKids='True', GoodForMeal=""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", HairSpecializesIn=None, HappyHour=None, HasTV='True', Music=None, NoiseLevel=None, Open24Hours=None, OutdoorSeating='False', RestaurantsAttire=""'casual'"", RestaurantsCounterService=None, RestaurantsDelivery='True', RestaurantsGoodForGroups='True', RestaurantsPriceRange2='1', RestaurantsReservations='False', RestaurantsTableService=None, RestaurantsTakeOut='True', Smoking=None, WheelchairAccessible=None, WiFi=None)",G4lRmwDHdvhZAhmtlsYYBw,"Burgers, Restaurants, Fast Food",Nashville,"Row(Friday='10:0-1:0', Monday='10:0-0:0', Saturday='10:0-1:0', Sunday='10:0-0:0', Thursday='10:0-0:0', Tuesday='10:0-0:0', Wednesday='10:0-0:0')",1,36.112075744,-86.7674462724,Wendy's,37204,37,1.5,TN
221 S Easton Rd,"Row(AcceptsInsurance=None, AgesAllowed=None, Alcohol=None, Ambience=None, BYOB=None, BYOBCorkage=None, BestNights=None, BikeParking='True', BusinessAcceptsBitcoin='False', BusinessAcceptsCreditCards='True', BusinessParking=""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", ByAppointmentOnly=None, Caters=None, CoatCheck=None, Corkage=None, DietaryRestrictions=None, DogsAllowed=None, DriveThru=None, GoodForDancing=None, GoodForKids=None, GoodForMeal=None, HairSpecializesIn=None, HappyHour=None, HasTV=None, Music=None, NoiseLevel=None, Open24Hours=None, OutdoorSeating=None, RestaurantsAttire=None, RestaurantsCounterService=None, RestaurantsDelivery=None, RestaurantsGoodForGroups=None, RestaurantsPriceRange2='1', RestaurantsReservations=None, RestaurantsTableService=None, RestaurantsTakeOut=None, Smoking=None, WheelchairAccessible='False', WiFi=None)",DTUfAthScapCGnOnnLUhPA,"Art Classes, Shopping, Education, Arts & Crafts, Appliances & Repair, Knitting Supplies, Art Supplies, Local Services",Glenside,"Row(Friday='10:0-16:0', Monday='10:0-15:0', Saturday='10:0-16:0', Sunday=None, Thursday='10:0-17:30', Tuesday='10:0-15:0', Wednesday='10:0-19:30')",0,40.0978388,-75.1558378,Stitchers' Dream,19038,9,3.5,PA
"908 N Lenola Rd, Ste 3",,DcUDIlxFsvqPvFh8_lb4Sw,"Gas Stations, Automotive, Towing",Moorestown,,1,39.973753,-74.995949,Lott's Service,08057,8,1.5,NJ
107 Heady Dr,"Row(AcceptsInsurance=None, AgesAllowed=None, Alcohol=None, Ambience=None, BYOB=None, BYOBCorkage=None, BestNights=None, BikeParking=None, BusinessAcceptsBitcoin=None, BusinessAcceptsCreditCards='True', BusinessParking=None, ByAppointmentOnly=None, Caters=None, CoatCheck=None, Corkage=None, DietaryRestrictions=None, DogsAllowed=None, DriveThru=None, GoodForDancing=None, GoodForKids=None, GoodForMeal=None, HairSpecializesIn=None, HappyHour=None, HasTV=None, Music=None, NoiseLevel=None, Open24Hours=None, OutdoorSeating=None, RestaurantsAttire=None, RestaurantsCounterService=None, RestaurantsDelivery=None, RestaurantsGoodForGroups=None, RestaurantsPriceRange2=None, RestaurantsReservations=None, RestaurantsTableService=None, RestaurantsTakeOut=None, Smoking=None, WheelchairAccessible=None, WiFi=None)",zs4d4DqSp5zh3HGFh-PiiQ,"Event Planning & Services, Caterers",Nashville,"Row(Friday='9:30-18:0', Monday='9:30-18:0', Saturday='9:30-17:0', Sunday=None, Thursday='9:30-18:0', Tuesday='9:30-18:0', Wednesday='9:30-18:0')",1,36.0982798,-86.8714149,Something Special,37205,21,2.5,TN
1787 Gallatin Pike N,"Row(AcceptsInsurance=None, AgesAllowed=None, Alcohol=""u'none'"", Ambience=""{u'divey': None, u'hipster': False, u'casual': True, u'touristy': None, u'trendy': False, u'intimate': False, u'romantic': False, u'classy': False, u'upscale': False}"", BYOB=None, BYOBCorkage=None, BestNights=None, BikeParking='True', BusinessAcceptsBitcoin=None, BusinessAcceptsCreditCards='True', BusinessParking=""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", ByAppointmentOnly=None, Caters='True', CoatCheck=None, Corkage=None, DietaryRestrictions=None, DogsAllowed=None, DriveThru='True', GoodForDancing=None, GoodForKids='True', GoodForMeal=None, HairSpecializesIn=None, HappyHour=None, HasTV='True', Music=None, NoiseLevel=""'average'"", Open24Hours=None, OutdoorSeating='False', RestaurantsAttire=""u'casual'"", RestaurantsCounterService=None, RestaurantsDelivery='True', RestaurantsGoodForGroups='True', RestaurantsPriceRange2='2', RestaurantsReservations='False', RestaurantsTableService=None, RestaurantsTakeOut='True', Smoking=None, WheelchairAccessible=None, WiFi=""u'no'"")",BxhkoR6cscJwwex8gx31OA,"Restaurants, Barbeque",Madison,"Row(Friday='10:0-21:30', Monday='10:0-20:30', Saturday='10:0-21:30', Sunday='10:0-20:0', Thursday='10:0-20:30', Tuesday='10:0-20:30', Wednesday='10:0-20:30')",1,36.296536,-86.700179,Bar-B-Cutie,37115,40,3.5,TN
2980 Dougherty Ferry Rd,"Row(AcceptsInsurance='True', AgesAllowed=None, Alcohol=None, Ambience=None, BYOB=None, BYOBCorkage=None, BestNights=None, BikeParking=None, BusinessAcceptsBitcoin=None, BusinessAcceptsCreditCards='True', BusinessParking=None, ByAppointmentOnly=None, Caters=None, CoatCheck=None, Corkage=None, DietaryRestrictions=None, DogsAllowed=None, DriveThru=None, GoodForDancing=None, GoodForKids=None, GoodForMeal=None, HairSpecializesIn=None, HappyHour=None, HasTV=None, Music=None, NoiseLevel=None, Open24Hours=None, OutdoorSeating=None, RestaurantsAttire=None, RestaurantsCounterService=None, RestaurantsDelivery=None, RestaurantsGoodForGroups=None, RestaurantsPriceRange2=None, RestaurantsReservations=None, RestaurantsTableService=None, RestaurantsTakeOut=None, Smoking=None, WheelchairAccessible=None, WiFi=""u'free'"")",2oxrOO3c9_mQmqM9kwEm9Q,"Health & Medical, Urgent Care",Saint Louis,"Row(Friday='8:0-20:0', Monday='8:0-20:0', Saturday='8:0-20:0', Sunday='8:0-20:0', Thursday='8:0-20:0', Tuesday='8:0-20:0', Wednesday='8:0-20:0')",1,38.568086,-90.475388,Total Access Urgent Care,63021,6,3.5,MO
1400 Parkway Ave,"Row(AcceptsInsurance=None, AgesAllowed=None, Alcohol=""u'none'"", Ambience=""{u'divey': False, u'hipster': False, u'casual': True, u'touristy': False, u'trendy': False, u'intimate': None, u'romantic': None, u'classy': None, u'upscale': False}"", BYOB=None, BYOBCorkage=""'yes_free'"", BestNights=None, BikeParking='True', BusinessAcceptsBitcoin=None, BusinessAcceptsCreditCards='True', BusinessParking=""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", ByAppointmentOnly=None, Caters='True', CoatCheck=None, Corkage='False', DietaryRestrictions=None, DogsAllowed=None, DriveThru=None, GoodForDancing=None, GoodForKids='True', GoodForMeal=""{u'breakfast': False, u'brunch': False, u'lunch': True, u'dinner': True, u'latenight': False, u'dessert': None}"", HairSpecializesIn=None, HappyHour=None, HasTV='True', Music=None, NoiseLevel=""u'average'"", Open24Hours=None, OutdoorSeating='True', RestaurantsAttire=""'casual'"", RestaurantsCounterService=None, RestaurantsDelivery='True', RestaurantsGoodForGroups='True', RestaurantsPriceRange2='2', RestaurantsReservations='True', RestaurantsTableService='True', RestaurantsTakeOut='True', Smoking=None, WheelchairAccessible=None, WiFi=""'no'"")",Ms5xG8i4p80KSMcF3tt4ug,"Italian, Restaurants",Ewing,"Row(Friday='16:30-21:0', Monday='16:0-20:0', Saturday='16:30-21:0', Sunday='16:30-20:0', Thursday='16:0-20:0', Tuesday='16:0-20:0', Wednesday='16:30-20:0')",1,40.2668877,-74.8056572,Sal DeForte's Ristorante,08628,52,4.0,NJ
400 N Center St,"Row(AcceptsInsurance=None, AgesAllowed=None, Alcohol=None, Ambience=None, BYOB=None, BYOBCorkage=None, BestNights=None, BikeParking=None, BusinessAcceptsBitcoin=None, BusinessAcceptsCreditCards=None, BusinessParking=None, ByAppointmentOnly=None, Caters=None, CoatCheck=None, Corkage=None, DietaryRestrictions=None, DogsAllowed=None, DriveThru=None, GoodForDancing=None, GoodForKids='True', GoodForMeal=None, HairSpecializesIn=None, HappyHour=None, HasTV=None, Music=None, NoiseLevel=None, Open24Hours=None, OutdoorSeating=None, RestaurantsAttire=None, RestaurantsCounterService=None, RestaurantsDelivery=None, RestaurantsGoodForGroups=None, RestaurantsPriceRange2=None, RestaurantsReservations=None, RestaurantsTableService=None, RestaurantsTakeOut=None, Smoking=None, WheelchairAccessible=None, WiFi=None)",yswijv6wP2fKbMqAiEZ0vw,"Active Life, Basketball Courts, Stadiums & Arenas, Arts & Entertainment, Professional Sports Teams",Reno,"Row(Friday='9:0-17:0', Monday='9:0-17:0', Saturday=None, Sunday=None, Thursday='9:0-17:0', Tuesday='9:0-17:0', Wednesday='9:0-17:0')",0,39.5309239,-119.8122604,Reno Bighorns,89501,6,5.0,NV
2215 Shelby St,"Row(AcceptsInsurance=None, AgesAllowed=None, Alcohol=None, Ambience=None, BYOB=None, BYOBCorkage=None, BestNights=None, BikeParking=None, BusinessAcceptsBitcoin=None, BusinessAcceptsCreditCards='None', BusinessParking='None', ByAppointmentOnly=None, Caters=None, CoatCheck=None, Corkage=None, DietaryRestrictions=None, DogsAllowed=None, DriveThru='True', GoodForDancing=None, GoodForKids=None, GoodForMeal=None, HairSpecializesIn=None, HappyHour=None, HasTV=None, Music=None, NoiseLevel=None, Open24Hours=None, OutdoorSeating=None, RestaurantsAttire=None, RestaurantsCounterService=None, RestaurantsDelivery='True', RestaurantsGoodForGroups=None, RestaurantsPriceRange2='None', RestaurantsReservations=None, RestaurantsTableService=None, RestaurantsTakeOut='False', Smoking=None, WheelchairAccessible='True', WiFi=None)",m9ncuZp0nEVhIwu24G-HRw,"Pharmacy, Health & Medical, Convenience Stores, Drugstores, Food, Shopping",Indianapolis,"Row(Friday='8:0-21:0', Monday='8:0-21:0', Saturday='8:0-21:0', Sunday='8:0-21:0', Thursday='8:0-21:0', Tuesday='10:0-20:0', Wednesday='8:0-21:0')",1,39.7371,-86.1391,CVS Pharmacy,46203,10,2.5,IN
1228 State St,"Row(AcceptsInsurance=None, AgesAllowed=None, Alcohol=None, Ambience=None, BYOB=None, BYOBCorkage=None, BestNights=None, BikeParking='True', BusinessAcceptsBitcoin='False', BusinessAcceptsCreditCards='True', BusinessParking=""{'garage': True, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", ByAppointmentOnly='False', Caters=None, CoatCheck=None, Corkage=None, DietaryRestrictions=None, DogsAllowed=None, DriveThru=None, GoodForDancing=None, GoodForKids=None, GoodForMeal=None, HairSpecializesIn=None, HappyHour=None, HasTV=None, Music=None, NoiseLevel=None, Open24Hours=None, OutdoorSeating=None, RestaurantsAttire=None, RestaurantsCounterService=None, RestaurantsDelivery=None, RestaurantsGoodForGroups=None, RestaurantsPriceRange2='2', RestaurantsReservations=None, RestaurantsTableService=None, RestaurantsTakeOut=None, Smoking=None, WheelchairAccessible='True', WiFi=""u'free'"")",QZU7TcrztBb3tXaPbVCkXg,"Beauty & Spas, Tattoo",Santa Barbara,"Row(Friday='12:0-20:0', Monday='12:0-20:0', Saturday='12:0-20:0', Sunday='12:0-18:0', Thursday='12:0-20:0', Tuesday='12:0-20:0', Wednesday='12:0-20:0')",1,34.4241297,-119.7053211,805 Ink,93101,68,4.5,CA
8882 170th Street,"Row(AcceptsInsurance=None, AgesAllowed=None, Alcohol=None, Ambience=None, BYOB=None, BYOBCorkage=None, BestNights=None, BikeParking='True', BusinessAcceptsBitcoin=None, BusinessAcceptsCreditCards=None, BusinessParking=""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", ByAppointmentOnly=None, Caters=None, CoatCheck=None, Corkage=None, DietaryRestrictions=None, DogsAllowed=None, DriveThru=None, GoodForDancing=None, GoodForKids=None, GoodForMeal=None, HairSpecializesIn=None, HappyHour=None, HasTV=None, Music=None, NoiseLevel=None, Open24Hours=None, OutdoorSeating=None, RestaurantsAttire=None, RestaurantsCounterService=None, RestaurantsDelivery=None, RestaurantsGoodForGroups=None, RestaurantsPriceRange2='2', RestaurantsReservations=None, RestaurantsTableService=None, RestaurantsTakeOut=None, Smoking=None, WheelchairAccessible=None, WiFi=None)",l6VYP8AxIoW6U52aDo8fXg,"Home & Garden, Music & DVDs, Fashion, Accessories, Shopping, Home Decor, Books, Mags, Music & Video, Video Game Stores",Edmonton,"Row(Friday='10:0-21:0', Monday='10:0-21:0', Saturday='10:0-21:0', Sunday='11:0-18:0', Thursday='10:0-21:0', Tuesday='9:30-21:0', Wednesday='10:0-21:0')",0,53.5114948,-113.6450474,HMV Superstore,T5T 4M2,24,4.0,AB
4353 Gunn Hwy,"Row(AcceptsInsurance=None, AgesAllowed=None, Alcohol=None, Ambience=None, BYOB=None, BYOBCorkage=None, BestNights=None, BikeParking=None, BusinessAcceptsBitcoin=None, BusinessAcceptsCreditCards='True', BusinessParking=None, ByAppointmentOnly='False', Caters=None, CoatCheck=None, Corkage=None, DietaryRestrictions=None, DogsAllowed=None, DriveThru=None, GoodForDancing=None, GoodForKids=None, GoodForMeal=None, HairSpecializesIn=None, HappyHour=None, HasTV=None, Music=None, NoiseLevel=None, Open24Hours=None, OutdoorSeating=None, RestaurantsAttire=None, RestaurantsCounterService=None, RestaurantsDelivery=None, RestaurantsGoodForGroups=None, RestaurantsPriceRange2=None, RestaurantsReservations=None, RestaurantsTableService=None, RestaurantsTakeOut=None, Smoking=None, WheelchairAccessible=None, WiFi=""u'free'"")",wMAxTyExktVtfyqKAfApbA,"Oil Change Stations, Automotive, Tires, Auto Repair",Tampa,"Row(Friday='7:30-18:0', Monday='0:0-0:0', Saturday='7:30-17:0', Sunday=None, Thursday='7:30-18:0', Tuesday='7:30-18:0', Wednesday='7:30-18:0')",1,28.0458684582,-82.515059,Tuffy Tire & Auto Service Center,33618,16,4.0,FL
"510 N 7th Ave, Ste 130","Row(AcceptsInsurance=None, AgesAllowed=None, Alcohol=None, Ambience=None, BYOB=None, BYOBCorkage=None, BestNights=None, BikeParking='True', BusinessAcceptsBitcoin=None, BusinessAcceptsCreditCards='True', BusinessParking=""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", ByAppointmentOnly='True', Caters=None, CoatCheck=None, Corkage=None, DietaryRestrictions=None, DogsAllowed=None, DriveThru=None, GoodForDancing=None, GoodForKids=None, GoodForMeal=None, HairSpecializesIn=None, HappyHour=None, HasTV=None, Music=None, NoiseLevel=None, Open24Hours=None, OutdoorSeating=None, RestaurantsAttire=None, RestaurantsCounterService=None, RestaurantsDelivery=None, RestaurantsGoodForGroups=None, RestaurantsPriceRange2='1', RestaurantsReservations=None, RestaurantsTableService=None, RestaurantsTakeOut=None, Smoking=None, WheelchairAccessible='True', WiFi=""u'free'"")",E-nhxuu3zbt02oCj_1AFng,"Waxing, Hair Removal, Skin Care, Eyelash Service, Beauty & Spas",Tucson,"Row(Friday='10:0-18:0', Monday='0:0-0:0', Saturday='9:0-17:0', Sunday='9:0-17:0', Thursday='10:0-18:0', Tuesday='10:0-18:0', Wednesday='10:0-18:0')",1,32.2280919,-110.9698038,Selah,85705,60,5.0,AZ
"2910 Mill St, Ste B","Row(AcceptsInsurance='False', AgesAllowed=None, Alcohol=None, Ambience=None, BYOB=None, BYOBCorkage=None, BestNights=None, BikeParking='True', BusinessAcceptsBitcoin=None, BusinessAcceptsCreditCards='True', BusinessParking=""{u'valet': False, u'garage': False, u'street': False, u'lot': True, u'validated': False}"", ByAppointmentOnly='True', Caters=None, CoatCheck=None, Corkage=None, DietaryRestrictions=None, DogsAllowed='False', DriveThru=None, GoodForDancing=None, GoodForKids='True', GoodForMeal=None, HairSpecializesIn=None, HappyHour=None, HasTV=None, Music=None, NoiseLevel=None, Open24Hours=None, OutdoorSeating=None, RestaurantsAttire=None, RestaurantsCounterService=None, RestaurantsDelivery=None, RestaurantsGoodForGroups=None, RestaurantsPriceRange2=None, RestaurantsReservations=None, RestaurantsTableService=None, RestaurantsTakeOut=None, Smoking=None, WheelchairAccessible='False', WiFi=None)",vvE3HVfxlx9UYctKPr0dbw,"Weight Loss Centers, Health & Medical, Life Coach, Meditation Centers, Professional Services, Yoga, Active Life, Fitness & Instruction, Trainers, Nutritionists",Reno,"Row(Friday='5:30-13:0', Monday='0:0-0:0', Saturday='8:30-11:30', Sunday=None, Thursday='5:45-20:0', Tuesday='11:45-20:0', Wednesday='5:45-20:0')",1,39.5174106,-119.7783471,Inspired By Purpose Wellness Center & Yoga Studio,89502,9,4.5,NV
1416 Centreville Ave,"Row(AcceptsInsurance=None, AgesAllowed=None, Alcohol=None, Ambience=None, BYOB=None, BYOBCorkage=None, BestNights=None, BikeParking=None, BusinessAcceptsBitcoin=None, BusinessAcceptsCreditCards='True', BusinessParking=None, ByAppointmentOnly=None, Caters=None, CoatCheck=None, Corkage=None, DietaryRestrictions=None, DogsAllowed=None, DriveThru=None, GoodForDancing=None, GoodForKids=None, GoodForMeal=None, HairSpecializesIn=None, HappyHour=None, HasTV=None, Music=None, NoiseLevel=None, Open24Hours=None, OutdoorSeating=None, RestaurantsAttire=None, RestaurantsCounterService=None, RestaurantsDelivery=None, RestaurantsGoodForGroups=None, RestaurantsPriceRange2=None, RestaurantsReservations=None, RestaurantsTableService=None, RestaurantsTakeOut=None, Smoking=None, WheelchairAccessible=None, WiFi=""u'free'"")",JnbSkfsl_j2dUoHncBTonA,"Auto Repair, Body Shops, Automotive",Belleville,"Row(Friday='8:0-17:0', Monday='8:0-17:0', Saturday=None, Sunday=None, Thursday='8:0-17:0', Tuesday='8:0-17:0', Wednesday='8:0-17:0')",1,38.5022786,-90.00616971,Collision XS,62220,6,4.5,IL
34 Ring Ln,"Row(AcceptsInsurance=None, AgesAllowed=None, Alcohol=None, Ambience=None, BYOB=None, BYOBCorkage=None, BestNights=None, BikeParking=None, BusinessAcceptsBitcoin=None, BusinessAcceptsCreditCards='False', BusinessParking=None, ByAppointmentOnly=None, Caters=None, CoatCheck=None, Corkage=None, DietaryRestrictions=None, DogsAllowed=None, DriveThru=None, GoodForDancing=None, GoodForKids=None, GoodForMeal=None, HairSpecializesIn=None, HappyHour=None, HasTV=None, Music=None, NoiseLevel=None, Open24Hours=None, OutdoorSeating=None, RestaurantsAttire=None, RestaurantsCounterService=None, RestaurantsDelivery=None, RestaurantsGoodForGroups=None, RestaurantsPriceRange2=None, RestaurantsReservations=None, RestaurantsTableService=None, RestaurantsTakeOut=None, Smoking=None, WheelchairAccessible=None, WiFi=None)",5BYQP7i7ckUlgSzX4Yhnmw,"Home Cleaning, Home Services, Office Cleaning, Professional Services, Window Washing",Levittown,"Row(Friday='7:0-22:0', Monday='7:0-22:0', Saturday='7:0-22:0', Sunday='7:0-22:0', Thursday='7:0-22:0', Tuesday='7:0-22:0', Wednesday='7:0-22:0')",1,40.1502639,-74.8448876,A-1 Expert Cleaning Services,19055,5,5.0,PA
1901 E Washington St,"Row(AcceptsInsurance=None, AgesAllowed=None, Alcohol=None, Ambience=None, BYOB=None, BYOBCorkage=None, BestNights=None, BikeParking='True', BusinessAcceptsBitcoin=None, BusinessAcceptsCreditCards='True', BusinessParking=""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", ByAppointmentOnly='False', Caters=None, CoatCheck=None, Corkage=None, DietaryRestrictions=None, DogsAllowed=None, DriveThru=None, GoodForDancing=None, GoodForKids='True', GoodForMeal=None, HairSpecializesIn=None, HappyHour=None, HasTV=None, Music=None, NoiseLevel=None, Open24Hours=None, OutdoorSeating=None, RestaurantsAttire=None, RestaurantsCounterService=None, RestaurantsDelivery=None, RestaurantsGoodForGroups=None, RestaurantsPriceRange2=None, RestaurantsReservations=None, RestaurantsTableService=None, RestaurantsTakeOut=None, Smoking=None, WheelchairAccessible=None, WiFi=None)",xAAhPuZ8FG6OlvAw5m1BVQ,"Active Life, Playgrounds, Parks, Swimming Pools",Indianapolis,,1,39.7667851,-86.12748,Willard Park,46201,5,3.5,IN
"2900 Clear Acre Ln, Ste B","Row(AcceptsInsurance='True', AgesAllowed=None, Alcohol=None, Ambience=None, BYOB=None, BYOBCorkage=None, BestNights=None, BikeParking=None, BusinessAcceptsBitcoin=None, BusinessAcceptsCreditCards='True', BusinessParking=None, ByAppointmentOnly='True', Caters=None, CoatCheck=None, Corkage=None, DietaryRestrictions=None, DogsAllowed=None, DriveThru=None, GoodForDancing=None, GoodForKids=None, GoodForMeal=None, HairSpecializesIn=None, HappyHour=None, HasTV=None, Music=None, NoiseLevel=None, Open24Hours=None, OutdoorSeating=None, RestaurantsAttire=None, RestaurantsCounterService=None, RestaurantsDelivery=None, RestaurantsGoodForGroups=None, RestaurantsPriceRange2=None, RestaurantsReservations=None, RestaurantsTableService=None, RestaurantsTakeOut=None, Smoking=None, WheelchairAccessible=None, WiFi=""u'free'"")",DfGNZQsCe9k2BxazCf0p6g,"Health & Medical, Chiropractors",Reno,"Row(Friday='7:30-17:0', Monday='7:30-17:0', Saturday=None, Sunday=None, Thursday='7:30-16:0', Tuesday='7:30-16:0', Wednesday='7:30-17:0')",1,39.5576887,-119.791299,Reno Family Chiropractic,89512,19,4.5,NV
540 N 52nd St,"Row(AcceptsInsurance=None, AgesAllowed=None, Alcohol=None, Ambience=None, BYOB=None, BYOBCorkage=None, BestNights=None, BikeParking=None, BusinessAcceptsBitcoin=None, BusinessAcceptsCreditCards='False', BusinessParking='None', ByAppointmentOnly='False', Caters=None, CoatCheck=None, Corkage=None, DietaryRestrictions=None, DogsAllowed=None, DriveThru=None, GoodForDancing=None, GoodForKids=None, GoodForMeal=None, HairSpecializesIn=None, HappyHour=None, HasTV=None, Music=None, NoiseLevel=None, Open24Hours=None, OutdoorSeating=None, RestaurantsAttire=None, RestaurantsCounterService=None, RestaurantsDelivery=None, RestaurantsGoodForGroups=None, RestaurantsPriceRange2='2', RestaurantsReservations=None, RestaurantsTableService=None, RestaurantsTakeOut=None, Smoking='None', WheelchairAccessible=None, WiFi='None')",07JLsUInZr5OSiYH2XVi4g,"Beauty & Spas, Hair Stylists, Hair Extensions, Hair Salons",Philadelphia,"Row(Friday='9:0-18:0', Monday='9:0-18:0', Saturday='8:0-18:0', Sunday='9:0-17:0', Thursday='9:0-18:0', Tuesday='9:0-18:0', Wednesday='9:0-18:0')",1,39.9690954,-75.2255953,Elegance African Hair Braiding,19131,8,2.0,PA
236 Taylor Ave,"Row(AcceptsInsurance=None, AgesAllowed=None, Alcohol=None, Ambience=None, BYOB=None, BYOBCorkage=None, BestNights=None, BikeParking='True', BusinessAcceptsBitcoin=None, BusinessAcceptsCreditCards=None, BusinessParking=""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", ByAppointmentOnly='False', Caters=None, CoatCheck=None, Corkage=None, DietaryRestrictions=None, DogsAllowed='True', DriveThru=None, GoodForDancing=None, GoodForKids='True', GoodForMeal=None, HairSpecializesIn=None, HappyHour=None, HasTV=None, Music=None, NoiseLevel=None, Open24Hours=None, OutdoorSeating=None, RestaurantsAttire=None, RestaurantsCounterService=None, RestaurantsDelivery=None, RestaurantsGoodForGroups=None, RestaurantsPriceRange2=None, RestaurantsReservations=None, RestaurantsTableService=None, RestaurantsTakeOut=None, Smoking=None, WheelchairAccessible=None, WiFi=None)",hPAmGKnDqummngSTOJN_8g,"Dog Parks, Active Life, Parks",Gloucester Township,"Row(Friday='7:0-19:0', Monday='7:0-19:0', Saturday='7:0-19:0', Sunday='7:0-19:0', Thursday='7:0-19:0', Tuesday='7:0-19:0', Wednesday='7:0-19:0')",1,39.831468,-75.058986,Timber Creek Park,08012,86,4.5,NJ
